https://fr.wikipedia.org/wiki/Liste_des_pays_par_%C3%A9galit%C3%A9_de_revenus
Bolivie	93.9	42.3	44.68	20168	157.3	2002	58.2	2009
Namibie	12.8	56.1	6117	200917	129.0	2003	70.7	2003
Sierra Leone	87.2	57.6	34	2011	87.2	1989	62.9	1989
Guinée-Bissau	19.0	10.3	50.7	2010	84.8	1991
République centrafricaine	69.2	32.7	56.2	2008	68.1	1993	61.3	1993
Haïti	54.4	26.6	41.1	2012	68.1	2001	59.2	2001
Paraguay	38.8	25.7	47.9	2016	65.9	2003	53.2	2009
Panama	49.9	23.9	50.4	2016	61.4	2003	51	2010 est.
Colombie	60.4	25.3	50.8	2016	56.3	2008	58.5	2009
Salvador	38.6	20.9	40	2016	55.4	2002	46.9	2007
Venezuela	18.8	16.0	46.9	2006	50.3	2003	41.0	2009
Guatemala	33.9	20.3	48.3	2014	48.2	2002	55.1	2007
Lesotho	10.5	44.2	54.2	2010	48.2	2002 est.	63.2	1995
Niger	46.0	20.7	34.3	2014	44.3	1995	34.0	2007
Costa Rica	23.4	15.6	48.7	2016	37.4	2003	50.3	2009
Brésil	11.0	12.0	51.3	2015	37.1	2007	51.9	2012
Sri Lanka	11.1	6.9	39.8	2016	36.1	2003/04
Honduras	59.4	17.2	50	2016	35.2	2003	57.7	2007
Argentine	31.6	17.8	42.4	2016	35.0	2007
Chili	26.2	15.7	47.7	2015	32.1	2003	52.1	2009
Afrique du Sud	33.1	17.9	63	2014	31.9	2000	65.0	2005
Pérou	26.1	15.2	43.8	2016	31.5	2003	48.0	2009
République dominicaine	25.3	14.3	45.3	2016	29.4	2005	48.4	2007
Malaisie	22.1	12.4	46.3	2009	28.0	2003 est.	46.2	2009
Guyana			44.6	1998	26.0	1999	43.2	1999
Arménie	8.0	5.0	32.5	2016	25.8	2004	30.9	2008
Swaziland	25.1	13.0	51.5	2010	25.4	2001	50.4	2001
Mexique	21.6	12.8	43.4	2016	24.6	2004	51.7	2008
Papouasie-Nouvelle-Guinée	23.8	12.6	41.9	2009	23.8	1996	50.9	1996
Chine	21.6	12.2	42.2	2012	21.8	2004	41.5	2007	46.99
Guinée	10.5	6.6	33.7	2012	21.6	2006	39.4	2007
Gambie	20.2	11.2	35.9	2015	20.6	1998	50.2	1998
Burundi	19.3	9.5	38.6	2013	19.3	1998	42.4	1998
Madagascar	19.2	11.0	42.6	2014	19.3	2001	47.5	2001
Mozambique	18.8	9.9	54	2014	18.8	2002	45.6	2008
Kenya	13.6	8.2	48.5	2005	18.6	2000	42.5	2008 est.
Rwanda	18.6	9.9	50.4	2013	18.2	2000	46.8	2000
